date,eventName,eventCount,activeUsers
20260620,page_view,60,23
20260620,user_engagement,38,11
20260620,session_start,29,23
20260620,first_visit,23,23
20260623,page_view,18,17
20260623,session_start,18,17
20260620,scroll,17,11
20260623,first_visit,17,17
20260621,page_view,11,9
20260621,session_start,10,9
20260620,click,8,5
20260621,first_visit,8,8
20260622,page_view,5,2
20260622,scroll,4,1
20260622,first_visit,2,2
20260622,session_start,2,2
20260622,user_engagement,2,1
20260623,scroll,2,2
20260624,first_visit,2,2
20260624,page_view,2,2
20260624,session_start,2,2
20260626,page_view,2,1
20260621,click,1,1
20260621,scroll,1,1
20260621,user_engagement,1,1
20260623,user_engagement,1,1
20260625,first_visit,1,1
20260625,page_view,1,1
20260625,session_start,1,1
20260625,user_engagement,1,1
20260626,scroll,1,1
20260626,session_start,1,1
