date,pagePath,pageTitle,activeUsers,screenPageViews,sessions,eventCount,averageSessionDuration
20260620,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,23,39,28,124,79.696161357142856
20260623,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,14,15,15,45,0.28117326666666664
20260621,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,8,8,8,23,0
20260620,/app/,離れて暮らす親を、無理なく見守るアプリ｜親みまもり研究所,4,8,5,20,196.8531344
20260620,/articles/,記事一覧｜親みまもり研究所,4,4,4,7,9.82135375
20260620,/categories/elderly-care/,高齢者の見守りの記事一覧｜親みまもり研究所,2,2,2,6,6.157525
20260622,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,2,2,2,8,5.379795
20260623,/cmd_sco,ページが見つかりません｜親みまもり研究所,2,2,2,8,4.434187
20260624,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,2,2,2,6,0
20260620,/about/,運営者情報｜親みまもり研究所,1,1,1,2,28.065698
20260620,/app/,安否確認アプリ「Roll Call」を見る｜親みまもり研究所,1,1,1,5,656.789648
20260620,/articles/kodomo-toukou-mimamori/,子どもの登下校を見守る方法｜共働き家庭の安心対策｜親みまもり研究所,1,1,1,2,8.836668
20260620,/articles/kourei-tsukaiyasui-app/,高齢の親でも使いやすい見守りアプリの条件とは｜親みまもり研究所,1,1,1,2,907.75089
20260620,/articles/rollcall-dekirukoto/,Roll Callでできること｜毎日のチェックインで安心を共有｜親みまもり研究所,1,1,1,3,28.865049
20260620,/categories/safety-check/,安否確認の記事一覧｜親みまもり研究所,1,1,1,2,7.040932
20260620,/contact/,お問い合わせ｜親みまもり研究所,1,1,1,2,11.641532
20260621,/app/,離れて暮らす親を、無理なく見守るアプリ｜親みまもり研究所,1,2,2,4,6.0462635
20260621,/privacy/,プライバシーポリシー｜親みまもり研究所,1,1,1,5,5.902263
20260622,/categories/,カテゴリー一覧｜親みまもり研究所,1,1,1,3,4.356875
20260622,/categories/elderly-care/,高齢者の見守りの記事一覧｜親みまもり研究所,1,1,1,2,2.947132
20260622,/disclaimer/,免責事項｜親みまもり研究所,1,1,1,2,27.085905
20260623,/about/,運営者情報｜親みまもり研究所,1,1,1,3,0
20260625,/articles/teiden-tsushin-shougai-renraku/,停電・通信障害でも家族と連絡を取る方法｜親みまもり研究所,1,1,1,4,49.071454
20260626,/,親みまもり研究所｜離れて暮らす親の見守りと安否確認,1,1,1,3,0
20260626,/about/,運営者情報｜親みまもり研究所,1,1,1,1,813.980177
